Длина строки, Левенштейн-Матрица, Дамерау-Левенштейн матрица, Дамерау-Левенштейн рекурсия, Дамерау-Левенштейн рекурсия с кэшем
1, 246.100, 239.000, 87.700, 79.100
2, 128.800, 125.400, 124.600, 182.000
3, 263.600, 267.000, 734.600, 297.600
4, 340.600, 426.400, 3664.200, 498.300
5, 522.200, 689.200, 17661.500, 723.100
6, 746.500, 849.400, 93846.500, 1024.300
7, 1064.500, 1138.300, 510799.312, 1409.600
8, 1350.000, 1489.400, 2901220.000, 1902.600
9, 1727.500, 1880.700, 16431517.000, 2401.600
10, 2106.500, 2213.500, -, 2879.200
11, 2416.200, 2619.000, -, 3444.400
12, 2837.500, 3045.600, -, 4175.000
13, 3308.800, 3512.800, -, 4712.900
14, 3702.400, 4068.400, -, 5531.100
15, 4220.300, 4576.100, -, 6331.200
16, 4783.100, 5151.000, -, 7263.900
17, 5220.900, 5706.300, -, 8400.400
18, 5938.800, 6395.600, -, 9294.200
19, 6482.100, 7061.700, -, 10342.400
20, 7065.100, 7797.000, -, 11505.800
21, 7757.700, 8493.500, -, 12633.900
22, 8596.300, 9308.400, -, 13929.300
23, 9309.800, 10223.900, -, 15356.500
24, 9951.200, 11019.600, -, 16689.900
25, 10769.100, 11960.900, -, 17982.801
26, 11716.000, 12785.500, -, 19441.199
27, 12495.100, 13866.500, -, 21024.100
28, 13445.200, 14797.300, -, 22669.301
29, 14279.000, 15900.900, -, 24271.301
30, 15460.500, 17161.100, -, 26226.199
31, 16487.000, 18208.000, -, 27889.199
32, 17593.500, 19396.000, -, 29728.400
33, 18882.600, 20712.301, -, 31634.400
34, 19755.500, 21708.199, -, 33525.898
35, 20787.500, 22932.199, -, 35487.500
36, 21801.100, 24263.100, -, 37641.898
37, 23124.199, 25684.801, -, 39757.500
38, 24294.100, 26944.199, -, 42287.898
39, 25808.301, 28560.600, -, 44310.500
40, 26836.400, 29828.600, -, 46470.699
41, 28003.801, 31113.000, -, 48819.898
42, 29342.199, 32717.000, -, 51350.801
43, 30759.000, 34339.102, -, 53788.602
44, 32121.699, 35799.602, -, 56156.500
45, 33950.801, 37540.602, -, 58766.699
46, 35203.898, 39148.898, -, 61545.301
47, 36561.898, 40728.199, -, 64130.398
48, 38072.898, 42397.898, -, 66818.703
49, 39650.500, 44803.500, -, 70102.898
50, 41745.699, 49676.602, -, 73213.797
51, 42974.699, 47931.398, -, 75654.797
52, 44789.898, 49794.801, -, 78978.398
53, 46433.801, 51813.199, -, 81898.398
54, 47553.801, 53792.898, -, 84769.500
55, 48344.301, 56070.199, -, 88645.500
